acceleration,a_hat,action,penalty,force_norm,angles
"[0.0, -0.19999999999999996, 0.6000000000000005]","[-0.021035487091306104, -0.04679293577722813, 6.500317520140699]",1.6363636363636362,6.074560071454776,16.310398207228555,[ 0.00286891 -0.0012897   0.        ]
"[0.0, 0.0, 0.0]","[-0.013082739355335757, -0.031335202814725, 0.32140552549719187]",1.7454545454545454,0.3658234676672526,16.578756704006064,[ 0.00309287 -0.0012913   0.        ]
"[0.0, 0.0, 0.0]","[-0.012449130958894793, -0.030440452324276182, -0.1622501401004197]",2.0,0.20513972338359066,16.839806686885794,[ 0.00315517 -0.00129037  0.        ]
"[0.0, 0.0, 9.6]","[-0.011011942589916253, -0.02749987306722477, -1.26848279977367]",1.8363636363636362,10.906994615430811,17.083137134339296,[ 0.00321954 -0.00128922  0.        ]
"[0.0, 0.19999999999999996, 2.200000000000002]","[-0.012027516160768872, -0.03323606903964007, -0.40470450461154334]",1.6727272727272726,2.8499680898119544,17.27166459786827,[ 0.00353374 -0.0012788   0.        ]
"[0.0, 0.0, 0.0]","[-0.013260069624640788, -0.049389718407631525, 0.6236832329963922]",1.6363636363636362,0.6863330210286644,17.45291612979445,[ 0.00473364 -0.00127089  0.        ]
"[0.0, 0.0, 0.0]","[-0.013679099873473679, -0.05244509453514108, 0.9680465241188954]",1.6909090909090907,1.0341707185275102,17.637026400878263,[ 0.00486588 -0.00126916  0.        ]
"[0.0, 0.0, 0.0]","[-0.013358354469161695, -0.052686872870394315, 0.7312212856060378]",1.709090909090909,0.7972665129455938,17.824483852208175,[ 0.00499813 -0.00126725  0.        ]
"[0.0, -0.6, 19.599999999999998]","[-0.01330464974217414, -0.05335989202763434, 0.7061372349778243]",1.5818181818181818,19.453807522736714,17.973280300514478,[ 0.00507405 -0.00126516  0.        ]
"[0.0, 0.0, 0.8000000000000007]","[-0.014004244089348378, -0.023345112732545234, 1.413541481219431]",1.5818181818181818,0.6508908380413239,17.75365420463335,[ 0.00208001 -0.00124776  0.        ]
"[0.0, 0.0, 7.799999999999999]","[-0.013882256563024558, -0.022687982873399872, 1.3328754744023967]",1.8727272727272726,6.503694765034027,17.626053237924225,[ 0.00203609 -0.00124584  0.        ]
"[0.0, 0.0, 0.0]","[-0.011452726536671646, -0.018512137471430812, -0.5282986155206825]",1.8727272727272726,0.558263479528785,17.38214312468454,[ 0.00199447 -0.0012339   0.        ]
"[0.0, 0.0, 9.799999999999999]","[-0.011233056913896288, -0.017741023844760877, -0.681884911285171]",1.6181818181818182,10.510858992043827,17.094515305383826,[ 0.00194355 -0.0012306   0.        ]
"[0.0, 0.0, 0.0]","[-0.01276554443163099, -0.01963928956932025, 0.5811758585432857]",1.5999999999999999,0.613580692544237,16.81485456429466,[ 0.00188999 -0.0012285   0.        ]
"[0.0, -0.39999999999999997, 12.000000000000002]","[-0.01267522129148485, -0.019222420894805598, 0.5336763683017021]",1.3818181818181816,11.859776432094979,16.5499231930438,[ 0.00185837 -0.00122541  0.        ]
"[0.0, 0.0, 0.0]","[-0.014363183949226423, -0.020243196174734388, 1.9420898515841682]",1.4,1.9766962317081291,16.23928765125115,[ 0.00172252 -0.00122218  0.        ]
"[0.0, 0.0, 0.0]","[-0.013752931808683784, 0.006881093673504079, 1.5700025988872466]",1.4,1.5906366243694345,15.932018185427651,[-0.00060466 -0.00120852  0.        ]
"[0.0, 0.0, 6.399999999999997]","[-0.01346137046524245, 0.008321758123681283, 1.3610942329670577]",1.4,5.060688895621863,15.639547620410463,[-0.00074494 -0.00120502  0.        ]
"[0.0, -0.19999999999999996, 1.800000000000006]","[-0.012919545284586866, 0.011492192951294614, 1.083838370777231]",1.4,0.9405733674586565,15.251392930817312,[-0.00105492 -0.00118595  0.        ]
"[0.0, 0.0, 0.0]","[-0.012681698323887039, 0.013266833136975912, 0.9175271768244363]",1.4,0.9434757082852993,15.018560026884328,[-0.00123671 -0.00118216  0.        ]
"[0.0, 0.0, 0.0]","[-0.012549011330217444, 0.02605287643758812, 0.7268317900811613]",1.418181818181818,0.7654336778489669,14.751620059808387,[-0.00247255 -0.00119097  0.        ]
"[0.0, 0.0, 0.0]","[-0.012038953286075798, 0.026891389146962517, 0.33874483783760295]",1.418181818181818,0.3776751802706413,14.392826059071814,[-0.00264972 -0.00118625  0.        ]
"[0.0, 0.0, -0.40000000000000036]","[-0.011837141830373448, 0.028258856060439364, 0.20141567175240238]",1.418181818181818,0.6415116696432156,14.198074164894212,[-0.00282265 -0.00118236  0.        ]
"[0.0, 0.0, 0.0]","[-0.011585003261068528, 0.029391125439145335, 0.01883555640077498]",1.4,0.05981168510098884,13.939147883098574,[-0.00299028 -0.00117867  0.        ]
"[0.0, 0.0, -3.4000000000000075]","[-0.011477320343615064, 0.0307967914014208, -0.031378022676728436]",1.4,3.4108960890683147,13.69014809179944,[-0.00314939 -0.00117371  0.        ]
"[0.0, 0.0, -1.599999999999997]","[-0.011447206651065658, 0.03658180969132902, -0.19003076327153906]",1.418181818181818,1.4579982530708526,13.468063842682326,[-0.00380267 -0.00118994  0.        ]
"[0.0, 0.0, -3.5999999999999988]","[-0.011035294158390009, 0.038089429874419135, -0.4597550676668461]",1.4,3.1893696563659617,13.260466617367499,[-0.0040736  -0.00118021  0.        ]
"[0.0, 0.0, 0.0]","[-0.011105891840747513, 0.039981159726217415, -0.4669320804059853]",1.418181818181818,0.5180191319729502,13.080424089793969,[-0.0042792  -0.00118868  0.        ]
"[0.0, 0.0, 0.0]","[-0.010767253383172713, 0.04024615839564416, -0.7147911120199311]",1.4,0.765804523798748,12.898795196372912,[-0.00442495 -0.00118384  0.        ]
