acceleration,a_hat,action,penalty,force_norm,angles
"[0.0, 0.0, 0.5]","[0.019563242556584856, -0.008881245122012148, 7.663877448682426]",1.8888888888888888,0.0972964494382073,17.473890656878524,[0.00050826 0.00111957 0.        ]
"[0.0, 0.0, 0.0]","[0.019563242556584856, -0.008881245122012148, 7.663877448682426]",1.8080808080808082,0.3424094880034343,17.473890656878524,[0.00050826 0.00111957 0.        ]
"[0.0, 0.0, 0.0]","[0.019563242556584856, -0.008881245122012148, 7.663877448682426]",1.8080808080808082,0.09423465286630922,17.473890656878524,[0.00050826 0.00111957 0.        ]
"[0.0, 0.0, -0.5]","[0.019563242556584856, -0.008881245122012148, 7.663877448682426]",1.787878787878788,0.11309136904179161,17.473890656878524,[0.00050826 0.00111957 0.        ]
"[0.0, 0.0, 0.0]","[0.0190691831374733, -0.008457267930831515, 7.661676005573797]",1.787878787878788,0.23643153389056304,17.47168845884305,[0.00048406 0.00109143 0.        ]
"[0.0, -0.5, 0.0]","[0.0190691831374733, -0.008457267930831515, 7.661676005573797]",1.6262626262626263,0.1471441357934993,17.47168845884305,[0.00048406 0.00109143 0.        ]
"[0.0, 0.5, 0.0]","[0.0190691831374733, -0.008457267930831515, 7.661676005573797]",1.6262626262626263,0.3796746729890606,17.47168845884305,[0.00048406 0.00109143 0.        ]
"[0.0, 0.0, 0.0]","[0.0190691831374733, -0.008457267930831515, 7.661676005573797]",1.7676767676767677,0.48705890945712327,17.47168845884305,[0.00048406 0.00109143 0.        ]
"[0.0, -0.5, 0.0]","[0.0190691831374733, -0.008457267930831515, 7.661676005573797]",1.7676767676767677,0.1875506794188724,17.47168845884305,[0.00048406 0.00109143 0.        ]
"[0.0, 0.5, 0.0]","[0.0190691831374733, -0.008457267930831515, 7.661676005573797]",1.8484848484848486,0.054590863148352535,17.47168845884305,[0.00048406 0.00109143 0.        ]
"[0.0, 0.0, 0.0]","[0.01911434401758502, -0.008247379197148819, 7.661127869452658]",1.8484848484848486,0.05055396677707535,17.471140272122373,[0.00047206 0.00109405 0.        ]
"[0.0, -0.5, 0.0]","[0.01911434401758502, -0.008247379197148819, 7.661127869452658]",1.7272727272727273,0.038877931638995444,17.471140272122373,[0.00047206 0.00109405 0.        ]
"[0.0, 0.0, 0.0]","[0.01911434401758502, -0.008247379197148819, 7.661127869452658]",1.7272727272727273,0.11235946107393396,17.471140272122373,[0.00047206 0.00109405 0.        ]
